# This table summarizes useful information about galaxies in the Parent Disc Sample of
# Erwin (2017, in prep). Most of the data is taken from xxx
#
# Except for the following columns, values are from Herrera-Endoqui et al. (2015: A&A, 582, A86)
#    dist, logmstar -- distance in Mpc and log of galaxy stellar mass (in solar masses), from 
#       Munoz-Mateos et al. (2015: ApJS, 219, 3)
#    bar_strength -- Buta et al. (2015)
#    A2, A4 -- Diaz-Garcia et al. (2016)
#    Re, Re_kpc, h_kpc -- Salo et al. (2015)
#    R25, etc.; t_s4g -- main S4G table
#    B_tc, BmV_tc, m21c, W_gas, t_leda -- HyperLeda (as of 29 March 2017)
#    gmr_tc -- total g-r color, based on BmV_tc as described in paper
#    weight_BmVtc -- B_t-based weights for galaxy colors (see paper)
#    w25, w30, w40 -- V/V_max weights assuming D_max = 25, 30, or 40 Mpc
#    M_HI, logfgas -- based on dist + m21c, as described in paper
#    inclination -- Munoz-Mateos et al. (2015)
#    sma_dp_kpc2 -- deprojected bar semi-major axis (in kpc) using bar size and
#       PA from Herrera-Endoqui et al. and galaxy inclination and PA from Munoz-Mateos et al.
#
# name logmstar dist B_tc BmV_tc weight_BmVtc gmr_tc m21c M_HI logfgas w25 w30 w40 sma sma_kpc sma_ell_kpc sma_dp_kpc sma_dp_kpc2 sma_ell_dp_kpc2 bar_strength A2 A4 inclination R25 R25_5 R25_kpc R25_5_kpc R25c_kpc Re Re_kpc h_kpc W_gas t_s4g t_leda
ESO245-007 5.93700004078 0.415 13.523 -99.0 3.04866415392 -111.06 -99.0 1.47323313967e+51 45.2312714388 16393.6529104 28328.2322291 67148.4023208 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 22.6628823587 71.1412111698 47.55 0.143134330281 0.0956694058614 0.144458735933 88.98 0.179025525416 0.149531985553 -99.0 9.5 9.5 
ESO249-008 8.72399964259 17.389 13.893 -99.0 3.67998782941 -111.06 16.116 232447297.371 -0.35767514152 1.58487933805 2.73867149615 6.49166576865 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 48.6093876396 36.9931449969 19.9 3.1186764519 1.67765301917 3.10434743518 11.98 1.00996397838 0.903656417715 23.8 1.3 2.4 
ESO249-026 7.77099994101 12.931 14.489 -99.0 2.95849121085 -111.06 14.222 735596255.001 1.09563956853 3.93480931548 6.79935049715 16.1169789562 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 59.1335077449 36.738485978 18.2 2.3031797066 1.14097980753 2.23525886161 31.67 1.9854302475 0.9135988316 43.05 7.2 7.2 
ESO249-036 8.52099942221 9.4 14.969 -99.0 4.6109241401 -111.06 14.558 285253507.547 -0.0657684288995 11.5994251082 20.043806587 47.5112452433 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 48.6093876396 35.2469266482 30.75 1.60628856322 1.4013526289 1.60628856322 0.0 0.0 0.0 29.9 10.0 10.0 
ESO285-048 9.83100030531 33.142 12.606 -99.0 1.69807104077 -111.06 14.847 2717269487.46 -0.396867593243 1.0 1.0 1.0 10.2 1.63890335248 2.07273071049 2.12093375027 2.13354651487 2.69830882763 1 0.322 0.09 67.4969400752 73.3029165808 39.85 11.7780780129 6.40297045063 11.6969982941 32.44 5.21235536809 3.29371370809 107.58 5.9 5.9 
ESO287-037 9.69300018673 36.153 13.465 -99.0 2.90542848194 -111.06 14.8 3376478342.93 -0.164536218272 1.0 1.0 1.0 18.7 3.27763362665 2.77371936586 3.54054541488 3.55132364067 3.00533136971 2 0.291 -999.999 26.8172039204 48.2082375904 27.75 8.44967596832 4.86386808232 8.68640460932 32.3 5.6613671733 3.27640670497 36.41 8.5 8.5 
ESO288-013 9.50500065958 35.611 14.403 -99.0 2.92011262087 -111.06 16.55 653647530.642 -0.689657034747 1.0 1.0 1.0 15.9 2.74508472111 2.22714420769 2.79687877245 2.80259305924 2.27380191598 2 -999.999 -999.999 21.2206647526 33.8938774402 20.35 5.85167076102 3.51336314935 5.89223260497 21.02 3.62903653068 2.54101615882 18.46 9.0 9.0 
ESO289-026 9.2780009376 26.457 13.399 -99.0 2.7532478406 -111.06 14.013 3732987027.91 0.294055543165 1.0 1.0 1.0 26.9 3.45038324485 3.24194931278 4.92545414879 5.10224496351 4.79402384583 2 0.777 0.398 62.1144331639 58.3608024487 35.0 7.48576709759 4.48934622937 7.29854535052 91.17 11.6941055923 2.35780463966 66.89 7.9 7.9 
ESO298-023 8.64599963462 19.083 14.637 -99.0 3.11360135406 -111.06 15.737 396888565.315 -0.0473310479077 2.05532296644 3.55159808601 8.41860287053 10.6 0.980679223329 -69.318293215 -92.4243909534 1.05154844254 0.0 2 0.33 -999.999 23.2768272035 30.9115836132 16.65 2.85984413299 1.54040651589 2.88630594495 19.46 1.80037902698 0.860869827649 35.26 6.0 6.0 
ESO300-014 9.02900206727 11.524 12.149 0.533 1.52721105341 0.41696 13.446 1193938028.67 0.0479797180641 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 66.7800306361 133.082593179 76.15 7.43530799602 4.25449106732 7.23267521106 92.75 5.18193101108 2.8351727341 56.42 8.9 8.9 
ESO302-014 7.828000196 9.3 14.272 -99.0 2.90425284799 -111.06 14.895 204711001.616 0.483140987225 7.80496896218 13.4869863667 31.9691528691 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 61.4638822233 40.6556823705 20.9 1.83306836374 0.942331466802 1.79547210485 29.88 1.34721838412 0.997428550651 28.73 10.0 10.0 
ESO305-009 8.78400071323 13.2 12.673 -99.0 1.72320902001 -111.06 13.156 2046082535.94 0.526922435299 1.0 1.0 1.12061951283 41.4 2.64940731583 -47.9485128354 -63.9313504472 3.29903169299 0.0 2 -999.999 -999.999 42.8185041258 87.52281042 46.6 5.60105251761 2.98218311396 5.65287841846 69.61 4.45471602065 2.72402588903 47.83 8.0 8.0 
ESO340-017 9.78199937701 36.514 12.533 -99.0 1.68312384509 -111.06 13.826 8446836901.79 0.144694731552 1.0 1.0 1.0 29.7 5.25763362665 5.54972438368 5.89492255109 5.88030544924 6.20698908531 1 0.621 -999.999 61.0291279759 51.1824716701 29.9 9.06056175581 5.29303856689 9.29298261776 24.29 4.29992999297 2.95684358471 96.25 8.0 8.0 
ESO340-042 9.42800027933 36.486 13.613 -99.0 3.28601169936 -111.06 15.467 1860491943.39 -0.158372485621 1.0 1.0 1.0 9.6 1.69813395389 0.915400334521 2.2995563959 2.34072200504 1.26179545584 1 0.53 0.191 47.8714447418 48.0973617207 27.15 8.50789198236 4.80253508836 8.62624854953 112.05 19.8204072431 5.02895294888 62.76 7.8 7.8 
ESO341-032 9.76299947322 38.361 13.514 -99.0 3.02588948519 -111.06 14.953 3301833168.46 -0.244244347308 1.0 1.0 1.0 11.0 2.04577121664 -139.344916733 -185.793222311 2.05881150668 0.0 2 -999.999 -999.999 21.7114498973 45.9326238505 27.9 8.54251270709 5.1888197222 8.8427151125 24.35 4.52859355683 2.62081890772 32.85 9.0 9.0 
ESO342-050 10.3129998572 31.464 12.33 0.489 1.6449588108 0.36768 14.687 2837939631.42 -0.859996704284 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 51.6485358736 51.4187192253 43.0 7.84349541465 6.55929023344 8.34660088398 34.93 5.32827925242 3.22747587812 103.84 5.0 5.0 
ESO345-046 9.60000091182 26.7 12.989 -99.0 2.04213410181 -111.06 14.348 2792529751.99 -0.154003102978 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 30.0935689399 67.9393292278 38.25 8.79441538982 4.95127627082 8.89624992057 41.93 5.42763435387 2.98875863574 69.68 7.0 7.0 
