# Bar presence as function of log(M_star/M_sun) and log(f_gas) for D < 25 Mpc, with V_max weights
logmstar   logfgas  weight   bar
9.858   -0.976   1.000    0
9.245   -0.573   1.000    1
9.457   -0.534   1.000    0
9.745   -1.437   1.000    1
10.883   -1.318   1.000    0
9.747   -1.152   1.000    1
9.929   -1.629   1.000    1
9.802   -1.163   1.000    1
9.278   -0.750   3.074    1
10.718   -2.248   1.000    1
10.576   -2.084   1.000    1
9.845   -0.888   1.000    0
9.080   -0.285   2.395    0
10.131   -0.698   1.000    1
10.001   -0.168   1.000    0
9.839   -0.567   1.000    1
9.741   -0.891   1.000    1
10.153   -0.302   1.000    1
8.934   -99.000   3.368    0
9.668   -0.093   1.000    1
9.092   -0.141   1.710    1
9.448   -0.848   1.000    1
9.717   0.002   1.000    1
9.204   0.123   1.000    1
10.695   -1.061   1.000    1
10.262   -0.753   1.000    1
9.877   -1.377   1.000    1
10.696   -1.852   1.000    1
10.004   -0.442   1.000    1
9.065   -0.216   3.665    1
10.734   -1.640   1.000    0
10.254   -1.393   1.000    0
9.813   -0.807   1.000    0
10.095   -2.365   1.000    0
9.728   -1.959   1.000    1
9.540   -0.962   1.021    0
9.571   0.136   1.000    1
9.809   -1.927   1.000    0
9.466   -0.628   1.000    1
9.071   -0.550   10.408    1
9.702   -1.044   1.000    1
9.523   -0.449   1.000    0
9.738   -0.844   1.000    0
10.317   -1.080   1.000    1
10.485   -0.998   1.000    1
9.235   -0.436   1.000    1
9.667   -0.421   1.000    1
10.495   -1.792   1.000    0
10.479   -1.771   1.000    1
10.848   -1.374   1.000    0
9.974   -0.323   1.000    0
9.836   -0.447   1.000    1
8.896   0.097   2.489    0
10.881   -1.407   1.000    1
10.062   -0.257   1.000    1
10.521   -2.115   1.000    0
9.538   -0.239   1.076    1
10.095   -0.825   1.000    1
9.941   -0.657   1.000    0
10.463   -1.266   1.000    0
8.978   0.514   1.000    0
10.443   -2.008   1.000    0
10.362   -1.032   1.000    1
10.069   -0.940   1.000    1
9.019   0.104   1.965    0
10.355   -1.690   1.000    0
9.326   0.105   1.000    1
10.443   -0.891   1.000    1
8.901   -0.351   1.686    1
10.946   -0.926   1.000    0
9.909   -0.669   1.000    1
10.653   -1.403   1.000    0
10.778   -1.223   1.000    0
9.739   -0.775   1.000    1
9.899   -1.517   1.000    1
9.938   -0.838   1.000    1
10.892   -1.619   1.000    0
10.404   -99.000   1.000    1
8.747   -0.053   1.254    0
10.832   -1.130   1.000    0
10.673   -1.051   1.000    1
8.722   -0.462   2.517    0
8.557   -0.916   6.680    0
10.088   -0.942   1.000    0
10.614   -0.956   1.000    0
10.622   -0.766   1.000    0
9.133   -0.183   4.170    0
9.006   -0.338   2.144    1
9.318   -0.137   1.000    0
9.291   -0.546   1.043    1
9.719   -1.582   1.000    1
9.860   -0.626   1.000    1
10.162   -0.512   1.000    1
10.567   -0.879   1.000    1
10.111   -1.976   2.512    0
9.363   -0.431   1.591    1
10.775   -1.730   1.000    1
9.111   -0.032   1.000    1
10.411   -1.047   1.000    1
9.740   -1.386   1.000    0
10.036   -0.845   1.000    1
10.050   -0.604   1.000    0
