logmstar   log_sma_kpc
9.981   0.197
9.982   0.194
9.984   0.418
9.984   0.379
9.986   0.254
9.986   0.269
9.987   0.433
9.987   0.431
9.989   0.169
9.990   0.452
9.990   0.202
9.991   0.708
9.992   0.400
9.992   0.418
9.992   0.084
9.993   0.326
9.994   0.394
9.995   0.542
9.995   0.492
9.996   0.216
9.997   0.426
9.999   0.235
9.999   0.128
10.001   0.470
10.001   0.270
10.002   0.354
10.002   0.357
10.003   0.157
10.006   0.231
10.007   0.321
10.007   0.218
10.007   0.419
10.008   0.008
10.008   0.359
10.008   0.551
10.009   0.243
10.009   0.429
10.010   0.255
10.010   0.426
10.011   0.191
10.013   0.201
10.014   0.389
10.015   0.402
10.015   0.336
10.016   0.501
10.017   0.192
10.017   0.304
10.018   0.246
10.019   0.579
10.021   0.088
10.022   0.228
10.023   0.369
10.023   0.487
10.023   0.461
10.024   0.558
10.024   0.476
10.025   0.185
10.025   0.302
10.026   0.482
10.026   0.318
10.026   0.539
10.027   0.396
10.027   0.617
10.027   0.542
10.027   0.231
10.028   0.509
10.028   0.357
10.030   0.371
10.031   0.383
10.031   0.176
10.031   0.161
10.032   0.304
10.034   0.381
10.036   0.372
10.036   0.361
10.036   0.069
10.037   0.233
10.038   0.483
10.038   0.342
10.039   0.422
10.039   0.206
10.039   0.389
10.040   0.437
10.040   0.368
10.042   0.309
10.042   0.542
10.042   0.416
10.043   0.431
10.043   0.209
10.044   0.286
10.045   0.291
10.045   0.295
10.045   0.410
10.045   0.551
10.045   0.464
10.047   0.636
10.050   0.629
10.050   0.345
10.051   0.454
10.052   0.497
10.052   0.256
10.053   0.347
10.055   0.477
10.056   0.111
10.056   0.410
10.056   0.466
10.056   0.708
10.056   0.070
10.057   0.351
10.057   0.434
10.057   0.210
10.057   0.418
10.058   0.435
10.058   0.384
10.059   0.461
10.059   0.067
10.061   0.535
10.061   0.627
10.061   0.399
10.061   0.483
10.062   0.410
10.062   0.309
10.062   0.528
10.063   0.314
10.064   0.333
10.066   0.326
10.068   0.750
10.068   0.558
10.069   0.532
10.069   0.273
10.069   0.263
10.069   0.178
10.070   0.358
10.071   0.397
10.071   0.540
10.072   0.469
10.072   0.393
10.074   0.403
10.075   0.205
10.076   0.292
10.076   0.302
10.076   0.466
10.077   0.432
10.077   0.584
10.079   0.276
10.079   0.566
10.080   0.553
10.080   0.419
10.080   0.402
10.081   0.512
10.081   0.523
10.082   0.275
10.082   0.320
10.082   0.401
10.083   0.433
10.083   0.489
10.084   0.096
10.084   0.526
10.084   0.494
10.085   0.350
10.085   0.365
10.085   0.352
10.085   0.377
10.086   0.219
10.086   0.326
10.086   0.601
10.086   0.351
10.087   0.379
10.087   0.436
10.088   0.455
10.088   0.205
10.088   0.433
10.088   0.586
10.089   0.235
10.089   0.473
10.090   0.627
10.090   0.282
10.091   0.413
10.092   0.290
10.095   0.173
10.095   0.449
10.095   0.216
10.095   0.472
10.095   0.330
10.096   0.571
10.097   0.442
10.098   0.423
10.098   0.067
10.099   0.341
10.100   0.248
10.101   0.621
10.101   0.147
10.101   0.463
10.102   0.372
10.104   0.069
10.104   0.611
10.104   0.530
10.105   0.387
10.106   0.493
10.107   0.178
10.107   0.462
10.107   0.304
10.107   0.345
10.107   0.434
10.107   0.456
10.108   0.282
10.109   0.201
10.109   0.471
10.109   0.410
10.110   0.531
10.111   0.348
10.111   0.548
10.111   0.318
10.112   0.280
10.112   0.451
10.112   0.179
10.114   0.677
10.114   0.262
10.114   0.631
10.114   0.365
10.114   0.550
10.115   0.505
10.116   0.450
10.117   0.358
10.117   0.496
10.118   0.573
10.119   0.308
10.120   0.389
10.122   0.478
10.123   0.497
10.123   0.411
10.123   0.112
10.124   0.682
10.124   0.370
10.124   0.351
10.125   0.317
10.125   0.494
10.125   0.377
10.126   0.402
10.127   0.326
10.128   0.443
10.129   0.441
10.129   0.585
10.129   0.519
10.129   0.386
10.129   0.335
10.130   0.685
10.131   0.248
10.132   0.543
10.132   0.497
10.132   0.555
10.133   0.392
10.133   0.711
10.133   0.152
10.133   0.489
10.134   0.533
10.135   0.423
10.135   0.319
10.135   0.405
10.135   0.514
10.136   0.199
10.138   0.478
10.141   0.317
10.141   0.526
10.142   0.400
10.142   0.309
10.142   0.334
10.142   0.442
10.143   0.527
10.143   0.168
10.143   0.478
10.143   0.349
10.144   0.246
10.144   0.427
10.145   0.564
10.145   0.649
10.145   0.558
10.146   0.248
10.147   0.432
10.148   0.382
10.148   0.358
10.148   0.379
10.148   0.184
10.148   0.483
10.149   0.537
10.149   0.221
10.150   0.560
10.150   0.398
10.150   0.389
10.151   0.383
10.151   0.166
10.151   0.567
10.153   0.680
10.153   0.252
10.154   0.484
10.154   0.539
10.154   0.357
10.155   0.220
10.155   0.350
10.156   0.406
10.159   0.603
10.160   0.515
10.161   0.520
10.161   0.716
10.162   0.599
10.163   0.243
10.163   0.460
10.163   0.720
10.163   0.570
10.164   0.567
10.164   0.352
10.165   0.496
10.165   0.232
10.166   0.470
10.166   0.364
10.168   0.406
10.168   0.465
10.168   0.465
10.168   0.447
10.169   0.610
10.169   0.236
10.170   0.437
10.172   0.287
10.172   0.593
10.172   0.377
10.172   0.487
10.173   0.443
10.173   0.598
10.173   0.204
10.173   0.386
10.173   0.697
10.174   0.278
10.175   0.233
10.175   0.392
10.176   0.414
10.177   0.501
10.178   0.383
10.178   0.501
10.178   0.365
10.180   0.539
10.180   0.441
10.180   0.521
10.181   0.204
10.181   0.414
10.181   0.511
10.182   0.326
10.182   0.422
10.182   0.350
10.182   0.488
10.184   0.600
10.184   0.571
10.184   0.303
10.184   0.621
10.185   0.591
10.186   0.395
10.187   0.657
10.187   0.369
10.187   0.559
10.187   0.228
10.188   0.410
10.188   0.451
10.188   0.374
10.188   0.493
10.188   0.476
10.189   0.348
10.189   0.271
10.189   0.489
10.189   0.353
10.189   0.391
10.190   0.091
10.191   0.335
10.191   0.343
10.191   0.480
10.192   0.356
10.192   0.288
10.192   0.471
10.193   0.313
10.193   0.526
10.193   0.656
10.194   0.420
10.195   0.193
10.195   0.632
10.195   0.584
10.196   0.440
10.196   0.700
10.196   0.449
10.197   0.345
10.198   0.353
10.198   0.537
10.198   0.495
10.199   0.586
10.199   0.744
10.199   0.349
10.199   0.541
10.200   0.375
10.200   0.426
10.200   0.506
10.200   0.061
10.203   0.459
10.204   0.452
10.205   0.573
10.206   0.631
10.206   0.576
10.206   0.240
10.207   0.456
10.207   0.408
10.208   0.537
10.209   0.339
10.209   0.283
10.210   0.552
10.210   0.550
10.210   0.753
10.210   0.524
10.210   0.438
10.210   0.611
10.211   0.407
10.211   0.316
10.211   0.422
10.212   0.490
10.214   0.345
10.214   0.574
10.214   0.624
10.214   0.447
10.215   0.566
10.217   0.344
10.218   0.216
10.218   0.415
10.218   0.450
10.220   0.546
10.221   0.513
10.221   0.362
10.221   0.498
10.221   0.461
10.222   0.527
10.222   0.337
10.222   0.423
10.223   0.348
10.223   0.471
10.223   0.379
10.223   0.328
10.223   0.336
10.224   0.336
10.225   0.442
10.226   0.589
10.227   0.212
10.228   0.500
10.229   0.468
10.230   0.378
10.230   0.240
10.230   0.710
10.231   0.377
10.232   0.316
10.232   0.359
10.233   0.730
10.233   0.270
10.234   0.321
10.235   0.577
10.236   0.295
10.236   0.523
10.236   0.537
10.239   0.572
10.239   0.527
10.239   0.511
10.240   0.360
10.240   0.553
10.240   0.419
10.240   0.311
10.240   0.584
10.241   0.534
10.241   0.545
10.241   0.422
10.241   0.492
10.243   0.211
10.243   0.618
10.243   0.336
10.245   0.301
10.245   0.483
10.246   0.591
10.246   0.501
10.246   0.445
10.247   0.699
10.248   0.501
10.248   0.391
10.248   0.594
10.250   0.257
10.252   0.356
10.252   0.489
10.252   0.265
10.252   0.465
10.252   0.440
10.252   0.373
10.252   0.304
10.256   0.332
10.256   0.375
10.256   0.446
10.256   0.291
10.256   0.455
10.257   0.519
10.258   0.616
10.259   0.559
10.261   0.564
10.261   0.514
10.262   0.251
10.262   0.440
10.263   0.440
10.264   0.196
10.264   0.581
10.264   0.424
10.264   0.445
10.264   0.473
10.265   0.336
10.266   0.331
10.266   0.676
10.267   0.236
10.267   0.342
10.267   0.574
10.268   0.335
10.268   0.542
10.268   0.388
10.268   0.481
10.270   0.512
10.270   0.507
10.270   0.369
10.270   0.608
10.270   0.529
10.270   0.586
10.270   0.479
10.271   0.370
10.272   0.413
10.272   0.460
10.272   0.451
10.274   0.423
10.275   0.367
10.276   0.358
10.276   0.309
10.277   0.572
10.278   0.507
10.278   0.355
10.279   0.410
10.280   0.439
10.281   0.424
10.281   0.433
10.282   0.547
10.282   0.309
10.282   0.252
10.282   0.372
10.283   0.534
10.285   0.434
10.285   0.493
10.286   0.484
10.287   0.521
10.287   0.526
10.287   0.607
10.288   0.456
10.289   0.273
10.289   0.305
10.289   0.450
10.290   0.583
10.290   0.480
10.290   0.399
10.291   0.366
10.291   0.507
10.292   0.297
10.292   0.310
10.292   0.474
10.293   0.286
10.293   0.448
10.294   0.642
10.294   0.440
10.294   0.686
10.295   0.701
10.295   0.532
10.295   0.294
10.296   0.658
10.296   0.094
10.296   0.588
10.296   0.615
10.297   0.727
10.298   0.698
10.298   0.388
10.298   0.615
10.299   0.517
10.299   0.416
10.300   0.517
10.300   0.690
10.300   0.601
10.301   0.323
10.301   0.387
10.301   0.363
10.301   0.347
10.303   0.402
10.304   0.426
10.304   0.484
10.304   0.452
10.304   0.614
10.305   0.400
10.305   0.370
10.305   0.234
10.305   0.565
10.306   0.386
10.306   0.712
10.307   0.424
10.307   0.108
10.307   0.578
10.308   0.530
10.308   0.370
10.309   0.604
10.309   0.398
10.309   0.474
10.310   0.542
10.310   0.457
10.310   0.429
10.310   0.416
10.311   0.525
10.311   0.695
10.312   0.781
10.312   0.447
10.312   0.275
10.312   0.472
10.312   0.291
10.313   0.406
10.313   0.512
10.314   0.283
10.314   0.473
10.314   0.456
10.315   0.312
10.315   0.520
10.316   0.495
10.316   0.609
10.316   0.449
10.317   0.705
10.317   0.523
10.317   0.573
10.318   0.621
10.318   0.493
10.318   0.513
10.318   0.527
10.319   0.596
10.319   0.239
10.320   0.540
10.320   0.576
10.320   0.461
10.320   0.611
10.320   0.326
10.320   0.573
10.321   0.383
10.321   0.393
10.322   0.247
10.322   0.373
10.322   0.559
10.323   0.377
10.323   0.641
10.324   0.742
10.325   0.624
10.325   0.377
10.325   0.519
10.325   0.543
10.326   0.290
10.326   0.661
10.326   0.575
10.327   0.474
10.327   0.364
10.327   0.396
10.327   0.568
10.329   0.430
10.329   0.459
10.330   0.250
10.330   0.427
10.330   0.360
10.331   0.426
10.331   0.344
10.331   0.238
10.332   0.308
10.332   0.370
10.333   0.410
10.333   0.584
10.333   0.464
10.333   0.659
10.334   0.300
10.334   0.581
10.334   0.380
10.334   0.629
10.335   0.449
10.335   0.380
10.335   0.425
10.335   0.162
10.336   0.401
10.337   0.599
10.337   0.545
10.337   0.546
10.338   0.355
10.338   0.279
10.338   0.510
10.338   0.275
10.339   0.510
10.339   0.570
10.339   0.263
10.339   0.492
10.340   0.435
10.341   0.590
10.341   0.470
10.342   0.587
10.342   0.265
10.343   0.505
10.343   0.695
10.343   0.682
10.345   0.717
10.345   0.540
10.345   0.518
10.345   0.454
10.346   0.392
10.346   0.328
10.347   0.502
10.347   0.730
10.347   0.533
10.347   0.700
10.347   0.419
10.347   0.492
10.348   0.359
10.349   0.326
10.350   0.508
10.350   0.402
10.350   0.459
10.350   0.381
10.350   0.564
10.350   0.611
10.351   0.428
10.351   0.481
10.351   0.485
10.352   0.445
10.352   0.684
10.352   0.710
10.352   0.268
10.352   0.478
10.352   0.524
10.352   0.577
10.352   0.654
10.353   0.433
10.354   0.611
10.354   0.554
10.354   0.297
10.354   0.422
10.354   0.196
10.354   0.570
10.355   0.437
10.355   0.504
10.355   0.528
10.355   0.529
10.356   0.365
10.356   0.214
10.356   0.523
10.357   0.313
10.357   0.585
10.358   0.520
10.358   0.385
10.359   0.479
10.359   0.739
10.359   0.509
10.359   0.311
10.360   0.151
10.360   0.424
10.360   0.280
10.361   0.541
10.362   0.552
10.362   0.615
10.362   0.445
10.363   0.413
10.363   0.606
10.363   0.441
10.365   0.466
10.365   0.662
10.365   0.659
10.365   0.301
10.365   0.360
10.366   0.646
10.366   0.386
10.366   0.514
10.366   0.599
10.366   0.410
10.366   0.469
10.366   0.512
10.367   0.595
10.367   0.424
10.367   0.790
10.367   0.533
10.368   0.539
10.368   0.357
10.369   0.511
10.369   0.437
10.370   0.300
10.371   0.480
10.371   0.553
10.371   -0.016
10.371   0.485
10.371   0.423
10.371   0.429
10.372   0.325
10.372   0.639
10.372   0.687
10.373   0.621
10.373   0.174
10.373   0.215
10.373   0.500
10.374   0.483
10.374   0.309
10.374   0.454
10.374   0.511
10.374   0.640
10.374   0.348
10.375   0.321
10.375   0.521
10.375   0.556
10.376   0.725
10.376   0.470
10.377   0.503
10.377   0.526
10.378   0.570
10.379   0.535
10.379   0.751
10.380   0.499
10.380   0.305
10.380   0.732
10.381   0.245
10.381   0.670
10.381   0.367
10.381   0.309
10.382   0.355
10.382   0.544
10.382   0.509
10.383   0.510
10.384   0.396
10.385   0.398
10.386   0.256
10.386   0.426
10.386   0.746
10.387   0.753
10.387   0.392
10.387   0.595
10.387   0.380
10.387   0.707
10.388   0.418
10.389   0.476
10.389   0.573
10.389   0.513
10.389   0.574
10.389   0.406
10.390   0.426
10.390   0.455
10.390   0.487
10.391   0.636
10.391   0.351
10.391   0.481
10.392   0.710
10.392   0.387
10.392   0.363
10.392   0.627
10.392   0.719
10.393   0.473
10.393   0.678
10.393   0.688
10.394   0.345
10.394   0.362
10.394   0.290
10.394   0.479
10.394   0.343
10.395   0.489
10.395   0.832
10.395   0.410
10.396   0.425
10.396   0.704
10.397   0.363
10.397   0.673
10.397   0.461
10.397   0.673
10.397   0.498
10.397   0.629
10.398   0.614
10.398   0.209
10.398   0.535
10.398   0.486
10.398   0.286
10.398   0.492
10.399   0.537
10.400   0.511
10.400   0.483
10.401   0.433
10.401   0.583
10.402   0.405
10.402   0.328
10.402   0.237
10.402   0.750
10.402   0.543
10.402   0.385
10.403   0.535
10.403   0.472
10.403   0.652
10.403   0.659
10.404   0.558
10.405   0.405
10.405   0.469
10.405   0.534
10.405   0.568
10.405   0.661
10.405   0.508
10.405   0.498
10.406   0.128
10.406   0.574
10.407   0.317
10.407   0.623
10.408   0.441
10.408   0.659
10.408   0.460
10.409   0.461
10.410   0.332
10.410   0.149
10.411   0.581
10.411   0.526
10.411   0.539
10.412   0.856
10.412   0.438
10.412   0.558
10.412   0.277
10.412   0.342
10.412   0.449
10.412   0.642
10.413   0.606
10.413   0.406
10.413   0.642
10.413   0.621
10.413   0.444
10.413   0.536
10.413   0.277
10.414   0.518
10.414   0.492
